"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","SECT","Sector","SEX","Sex","COU","Country of residence","Value","Flag Codes","Flags"
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","L","Public administration and defence; compulsory social security","1","Men","IRL","Ireland",10,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","L","Public administration and defence; compulsory social security","ALL_SEX","Men and women","IRL","Ireland",19,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","Q","Extra-territorial organizations and bodies","2","Women","IRL","Ireland",2,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","Q","Extra-territorial organizations and bodies","1","Men","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","Q","Extra-territorial organizations and bodies","ALL_SEX","Men and women","IRL","Ireland",5,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","F","Construction","2","Women","IRL","Ireland",9,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","F","Construction","1","Men","IRL","Ireland",94,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","F","Construction","ALL_SEX","Men and women","IRL","Ireland",103,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","J","Financial intermediation","2","Women","IRL","Ireland",50,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","J","Financial intermediation","1","Men","IRL","Ireland",41,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","J","Financial intermediation","ALL_SEX","Men and women","IRL","Ireland",91,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","C","Mining and quarrying","1","Men","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","C","Mining and quarrying","ALL_SEX","Men and women","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","M","Education","2","Women","IRL","Ireland",31,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","M","Education","1","Men","IRL","Ireland",14,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","M","Education","ALL_SEX","Men and women","IRL","Ireland",45,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","D","Manufacturing","2","Women","IRL","Ireland",58,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","D","Manufacturing","1","Men","IRL","Ireland",265,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","D","Manufacturing","ALL_SEX","Men and women","IRL","Ireland",323,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","O","Other community, social and personal service activities","2","Women","IRL","Ireland",51,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","O","Other community, social and personal service activities","1","Men","IRL","Ireland",49,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","O","Other community, social and personal service activities","ALL_SEX","Men and women","IRL","Ireland",100,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","P","Private households with employed persons","2","Women","IRL","Ireland",6,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","P","Private households with employed persons","ALL_SEX","Men and women","IRL","Ireland",6,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","I","Transport, storage and communications","2","Women","IRL","Ireland",28,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","I","Transport, storage and communications","1","Men","IRL","Ireland",97,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","I","Transport, storage and communications","ALL_SEX","Men and women","IRL","Ireland",125,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","A_B","Agriculture and fishing","2","Women","IRL","Ireland",6,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","A_B","Agriculture and fishing","1","Men","IRL","Ireland",16,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","A_B","Agriculture and fishing","ALL_SEX","Men and women","IRL","Ireland",22,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","K","Real estate, renting and business activities","2","Women","IRL","Ireland",109,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","K","Real estate, renting and business activities","1","Men","IRL","Ireland",187,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","K","Real estate, renting and business activities","ALL_SEX","Men and women","IRL","Ireland",296,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","N","Health and social work","2","Women","IRL","Ireland",104,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","N","Health and social work","1","Men","IRL","Ireland",28,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","N","Health and social work","ALL_SEX","Men and women","IRL","Ireland",132,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","999","Unknown","2","Women","IRL","Ireland",75,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","999","Unknown","1","Men","IRL","Ireland",119,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","999","Unknown","ALL_SEX","Men and women","IRL","Ireland",194,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","ALL_SECT","All sectors","2","Women","IRL","Ireland",783,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","ALL_SECT","All sectors","1","Men","IRL","Ireland",1374,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","ALL_SECT","All sectors","ALL_SEX","Men and women","IRL","Ireland",2157,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2","Women","IRL","Ireland",11,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1","Men","IRL","Ireland",19,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","ALL_SEX","Men and women","IRL","Ireland",30,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","H","Hotels and restaurants","2","Women","IRL","Ireland",11,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","H","Hotels and restaurants","1","Men","IRL","Ireland",40,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","H","Hotels and restaurants","ALL_SEX","Men and women","IRL","Ireland",51,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","L","Public administration and defence; compulsory social security","2","Women","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","L","Public administration and defence; compulsory social security","ALL_SEX","Men and women","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","Q","Extra-territorial organizations and bodies","1","Men","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","Q","Extra-territorial organizations and bodies","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","F","Construction","1","Men","IRL","Ireland",7,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","F","Construction","ALL_SEX","Men and women","IRL","Ireland",7,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","J","Financial intermediation","2","Women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","J","Financial intermediation","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","M","Education","2","Women","IRL","Ireland",2,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","M","Education","1","Men","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","M","Education","ALL_SEX","Men and women","IRL","Ireland",5,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","D","Manufacturing","2","Women","IRL","Ireland",11,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","D","Manufacturing","1","Men","IRL","Ireland",52,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","D","Manufacturing","ALL_SEX","Men and women","IRL","Ireland",63,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","O","Other community, social and personal service activities","2","Women","IRL","Ireland",7,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","O","Other community, social and personal service activities","1","Men","IRL","Ireland",4,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","O","Other community, social and personal service activities","ALL_SEX","Men and women","IRL","Ireland",11,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","P","Private households with employed persons","2","Women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","P","Private households with employed persons","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","I","Transport, storage and communications","2","Women","IRL","Ireland",5,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","I","Transport, storage and communications","1","Men","IRL","Ireland",17,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","I","Transport, storage and communications","ALL_SEX","Men and women","IRL","Ireland",22,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","A_B","Agriculture and fishing","1","Men","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","A_B","Agriculture and fishing","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","K","Real estate, renting and business activities","2","Women","IRL","Ireland",12,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","K","Real estate, renting and business activities","1","Men","IRL","Ireland",24,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","K","Real estate, renting and business activities","ALL_SEX","Men and women","IRL","Ireland",36,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","N","Health and social work","2","Women","IRL","Ireland",17,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","N","Health and social work","1","Men","IRL","Ireland",9,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","N","Health and social work","ALL_SEX","Men and women","IRL","Ireland",26,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","999","Unknown","2","Women","IRL","Ireland",252,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","999","Unknown","1","Men","IRL","Ireland",376,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","999","Unknown","ALL_SEX","Men and women","IRL","Ireland",628,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","ALL_SECT","All sectors","2","Women","IRL","Ireland",333,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","ALL_SECT","All sectors","1","Men","IRL","Ireland",553,,
"AFRI","Africa","1","Foreign-born","99","Unknown education","ALL_SECT","All sectors","ALL_SEX","Men and women","IRL","Ireland",886,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2","Women","IRL","Ireland",11,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1","Men","IRL","Ireland",19,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","ALL_SEX","Men and women","IRL","Ireland",30,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","H","Hotels and restaurants","2","Women","IRL","Ireland",11,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","H","Hotels and restaurants","1","Men","IRL","Ireland",40,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","H","Hotels and restaurants","ALL_SEX","Men and women","IRL","Ireland",51,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","L","Public administration and defence; compulsory social security","2","Women","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","L","Public administration and defence; compulsory social security","ALL_SEX","Men and women","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","Q","Extra-territorial organizations and bodies","1","Men","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","Q","Extra-territorial organizations and bodies","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","F","Construction","1","Men","IRL","Ireland",7,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","F","Construction","ALL_SEX","Men and women","IRL","Ireland",7,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","J","Financial intermediation","2","Women","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","J","Financial intermediation","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","M","Education","2","Women","IRL","Ireland",2,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","M","Education","1","Men","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","M","Education","ALL_SEX","Men and women","IRL","Ireland",5,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","D","Manufacturing","2","Women","IRL","Ireland",11,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","D","Manufacturing","1","Men","IRL","Ireland",52,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","D","Manufacturing","ALL_SEX","Men and women","IRL","Ireland",63,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","O","Other community, social and personal service activities","2","Women","IRL","Ireland",7,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","O","Other community, social and personal service activities","1","Men","IRL","Ireland",4,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","O","Other community, social and personal service activities","ALL_SEX","Men and women","IRL","Ireland",11,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","P","Private households with employed persons","2","Women","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","P","Private households with employed persons","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","I","Transport, storage and communications","2","Women","IRL","Ireland",5,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","I","Transport, storage and communications","1","Men","IRL","Ireland",17,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","I","Transport, storage and communications","ALL_SEX","Men and women","IRL","Ireland",22,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","A_B","Agriculture and fishing","1","Men","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","A_B","Agriculture and fishing","ALL_SEX","Men and women","IRL","Ireland",1,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","K","Real estate, renting and business activities","2","Women","IRL","Ireland",12,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","K","Real estate, renting and business activities","1","Men","IRL","Ireland",24,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","K","Real estate, renting and business activities","ALL_SEX","Men and women","IRL","Ireland",36,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","N","Health and social work","2","Women","IRL","Ireland",17,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","N","Health and social work","1","Men","IRL","Ireland",9,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","N","Health and social work","ALL_SEX","Men and women","IRL","Ireland",26,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","999","Unknown","2","Women","IRL","Ireland",252,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","999","Unknown","1","Men","IRL","Ireland",376,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","999","Unknown","ALL_SEX","Men and women","IRL","Ireland",628,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","ALL_SECT","All sectors","2","Women","IRL","Ireland",333,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","ALL_SECT","All sectors","1","Men","IRL","Ireland",553,,
"AFRI","Africa","ALL_FBORN","All places of birth","99","Unknown education","ALL_SECT","All sectors","ALL_SEX","Men and women","IRL","Ireland",886,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2","Women","IRL","Ireland",31,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1","Men","IRL","Ireland",58,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","ALL_SEX","Men and women","IRL","Ireland",89,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","H","Hotels and restaurants","2","Women","IRL","Ireland",39,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","H","Hotels and restaurants","1","Men","IRL","Ireland",83,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","H","Hotels and restaurants","ALL_SEX","Men and women","IRL","Ireland",122,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","L","Public administration and defence; compulsory social security","2","Women","IRL","Ireland",2,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","L","Public administration and defence; compulsory social security","1","Men","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","L","Public administration and defence; compulsory social security","ALL_SEX","Men and women","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","Q","Extra-territorial organizations and bodies","2","Women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","Q","Extra-territorial organizations and bodies","1","Men","IRL","Ireland",4,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","Q","Extra-territorial organizations and bodies","ALL_SEX","Men and women","IRL","Ireland",5,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","F","Construction","2","Women","IRL","Ireland",1,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","F","Construction","1","Men","IRL","Ireland",21,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","F","Construction","ALL_SEX","Men and women","IRL","Ireland",22,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","J","Financial intermediation","2","Women","IRL","Ireland",4,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","J","Financial intermediation","1","Men","IRL","Ireland",2,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","J","Financial intermediation","ALL_SEX","Men and women","IRL","Ireland",6,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","M","Education","2","Women","IRL","Ireland",6,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","M","Education","1","Men","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","M","Education","ALL_SEX","Men and women","IRL","Ireland",9,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","D","Manufacturing","2","Women","IRL","Ireland",17,,
"AFRI","Africa","1","Foreign-born","1","ISCED 0/1/2","D","Manufacturing","1","Men","IRL","Ireland",58,,
