"Statistic Label","Year","Item","UNIT","VALUE"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Memo: Net derivative flows on debt interest swap contracts","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","23074"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","20227"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","16798"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","3428"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1027"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","507"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","455"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","859"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","23192"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","22785"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","6137"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","3252"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","1082"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2644"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","617"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","6707"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","1683"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","663"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net operating balance - ESA2010 Code  (NOB)","Euro Million","288"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","407"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-119"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net acquisition of financial assets","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net incurrence of liabilities","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1996","Memo: Net derivative flows on debt interest swap contracts","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","26002"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","22827"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","19109"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","3718"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1078"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","495"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","488"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1115"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","25049"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","24465"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","6736"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","3663"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","1197"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2569"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","928"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","7843"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","824"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","707"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net operating balance - ESA2010 Code  (NOB)","Euro Million","1536"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","583"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","953"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net acquisition of financial assets","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net incurrence of liabilities","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1997","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-217"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","29154"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","25826"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","21803"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","4024"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1196"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","511"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","550"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1071"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","27488"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","26651"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","7168"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","4265"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","1355"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2686"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","927"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","8352"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","1208"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","690"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net operating balance - ESA2010 Code  (NOB)","Euro Million","2503"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","837"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","1666"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net acquisition of financial assets","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net incurrence of liabilities","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1998","Memo: Net derivative flows on debt interest swap contracts","Euro Million","83"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","33447"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","29799"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","25269"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","4531"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1367"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","527"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","447"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1306"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","30165"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","28833"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","7896"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","4836"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","1559"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2190"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1069"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","8562"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","1359"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1362"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net operating balance - ESA2010 Code  (NOB)","Euro Million","4614"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","1332"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","3282"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net acquisition of financial assets","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net incurrence of liabilities","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1999","Memo: Net derivative flows on debt interest swap contracts","Euro Million","100"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","38432"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","34508"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","29176"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","5332"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1517"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","766"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","393"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1248"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","33165"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","31209"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","8917"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","5492"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","1844"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2107"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1107"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","9231"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","1474"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1036"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net operating balance - ESA2010 Code  (NOB)","Euro Million","7223"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","1955"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","5268"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net acquisition of financial assets","Euro Million","2159"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","1364"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","-248"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","1043"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net incurrence of liabilities","Euro Million","-5141"
